Input,,,,Output,,,
Power(W),Speed (mm/s),Layer thickness (mm),,평균 용융풀 너비,평균 용융풀 깊이,용융풀 안정성,결함 발생율
110,2200,0.02,,26.07033333,8.146979167,0,0
140,2200,0.02,,32.657,10.88566667,0,0
180,2200,0.02,,51.69083333,18.4610119,0,0
210,2200,0.02,,90.55866667,36.22346667,0.696750158,0
250,2200,0.02,,103.8325,51.91625,0.79500219,0
320,2200,0.02,,121.2186667,67.3437037,0.957602575,0
390,2200,0.02,,114.382,76.25466667,0.802881281,0
460,2200,0.02,,137.527,105.79,0.939494937,0.499495026
110,1800,0.02,,27.33633333,8.542604167,0,0
140,1800,0.02,,32.8985,10.96616667,0,0
180,1800,0.02,,55.267,19.73821429,0,0
210,1800,0.02,,93.41516667,37.36606667,0.627115938,0
250,1800,0.02,,89.36866667,44.68433333,0.543944716,0
320,1800,0.02,,134.008,74.44888889,0.809895757,0.180114756
390,1800,0.02,,138.9855,92.657,0.869395432,0.091792395
460,1800,0.02,,149.3508333,114.8852564,0.874998692,0.006100544
110,1400,0.02,,25.726,8.039375,0,0
140,1400,0.02,,39.62083333,13.20694444,0,0
180,1400,0.02,,82.16883333,29.3460119,0.463541558,0.166132217
210,1400,0.02,,57.72,23.088,0,0
250,1400,0.02,,106.4251667,53.21258333,0.734646144,0.0766001
320,1400,0.02,,136.8496667,76.02759259,0.835270083,0
390,1400,0.02,,142.052,94.70133333,0.875954967,0.238950603
460,1400,0.02,,147.8386667,113.7220513,0.939507903,0.087849321
110,1100,0.02,,32.659,10.2059375,0,0
140,1100,0.02,,36.60916667,12.20305556,0,0
180,1100,0.02,,94.79383333,33.85494048,0.713724852,0
210,1100,0.02,,93.40066667,37.36026667,0.707018709,0.023446232
250,1100,0.02,,115.9421667,57.97108333,0.873535234,0.117532028
320,1100,0.02,,136.4733333,75.81851852,0.934931992,0.058797521
390,1100,0.02,,139.5651667,93.04344444,0.9559909,0.036249329
460,1100,0.02,,150,115.3846154,0.956521739,0.062221198
110,950,0.02,,31.30416667,9.782552083,0,0
140,950,0.02,,81.25583333,27.08527778,0.601905062,0
180,950,0.02,,82.22216667,29.36505952,0.602635905,0
210,950,0.02,,101.3043333,40.52173333,0.801547759,0.029664227
250,950,0.02,,124.4446667,62.22233333,0.954469663,0
320,950,0.02,,134.6858333,74.82546296,0.966149572,0.146036968
390,950,0.02,,144.1545,96.103,0.958004614,0.017519891
460,950,0.02,,153.6233333,118.1717949,0.962965724,0.0056708
110,800,0.02,,64.4925,20.15390625,0.709346397,0
140,800,0.02,,88.116,29.372,0.693593957,0
180,800,0.02,,95.65216667,34.1614881,0.636361822,0
210,800,0.02,,115.2658333,46.10633333,0.848176396,0.142282033
250,800,0.02,,132.4638333,66.23191667,0.948828667,0.072463474
320,800,0.02,,143.3333333,79.62962963,0.970118345,0.010371459
390,800,0.02,,155.169,103.446,0.982715918,0.060263465
460,800,0.02,,159.4201667,122.6308974,0.973685459,0.045371087
110,600,0.02,,71.59416667,22.37317708,0.610872777,0
140,600,0.02,,88.11583333,29.37194444,0.804155022,0
